method,run,AUC-PR
run1-1,run1-1_ISOT_pr_curve.csv,0.25
run1-2,run1-2_ISOT_pr_curve.csv,0.25
run1-3,run1-3_ISOT_pr_curve.csv,0.25
run1-4,run1-4_ISOT_pr_curve.csv,0.25
run1-5,run1-5_ISOT_pr_curve.csv,0.25
run10,run10_ISOT_pr_curve.csv,0.25
run11,run11_ISOT_pr_curve.csv,0.25
run12-catboost,run12-catboost_ISOT_pr_curve.csv,0.25
run12-rf,run12-rf_ISOT_pr_curve.csv,0.25
run13,run13_ISOT_pr_curve.csv,0.25
run14,run14_ISOT_pr_curve.csv,0.25
run15,run15_ISOT_pr_curve.csv,0.25
run16,run16_ISOT_pr_curve.csv,0.25
run17,run17_ISOT_pr_curve.csv,0.25
run18,run18_ISOT_pr_curve.csv,0.25
run19,run19_ISOT_pr_curve.csv,0.25
run20,run20_ISOT_pr_curve.csv,0.25
run2,run2_ISOT_pr_curve.csv,0.25
run3,run3_ISOT_pr_curve.csv,0.25
run4,run4_ISOT_pr_curve.csv,0.25
run5,run5_ISOT_pr_curve.csv,0.25
run6,run6_ISOT_pr_curve.csv,0.25
run7,run7_ISOT_pr_curve.csv,0.25
run8,run8_ISOT_pr_curve.csv,0.25
run9,run9_ISOT_pr_curve.csv,0.25
