Precision,Recall
0.4864864864864865,1.0
0.5,1.0
0.5142857142857142,1.0
0.5,0.9444444444444444
0.5151515151515151,0.9444444444444444
0.53125,0.9444444444444444
0.5161290322580645,0.8888888888888888
0.5,0.8333333333333334
0.5172413793103449,0.8333333333333334
0.5357142857142857,0.8333333333333334
0.5555555555555556,0.8333333333333334
0.5384615384615384,0.7777777777777778
0.52,0.7222222222222222
0.5,0.6666666666666666
0.4782608695652174,0.6111111111111112
0.45454545454545453,0.5555555555555556
0.47619047619047616,0.5555555555555556
0.45,0.5
0.42105263157894735,0.4444444444444444
0.4444444444444444,0.4444444444444444
0.4117647058823529,0.3888888888888889
0.375,0.3333333333333333
0.4,0.3333333333333333
0.42857142857142855,0.3333333333333333
0.38461538461538464,0.2777777777777778
0.3333333333333333,0.2222222222222222
0.36363636363636365,0.2222222222222222
0.4,0.2222222222222222
0.4444444444444444,0.2222222222222222
0.375,0.16666666666666666
0.42857142857142855,0.16666666666666666
0.5,0.16666666666666666
0.6,0.16666666666666666
0.5,0.1111111111111111
0.6666666666666666,0.1111111111111111
1.0,0.1111111111111111
1.0,0.05555555555555555
1.0,0.0
