Precision,Recall
0.4864864864864865,1.0
0.5,1.0
0.5142857142857142,1.0
0.5,0.9444444444444444
0.5151515151515151,0.9444444444444444
0.53125,0.9444444444444444
0.5483870967741935,0.9444444444444444
0.5666666666666667,0.9444444444444444
0.5862068965517241,0.9444444444444444
0.5714285714285714,0.8888888888888888
0.5925925925925926,0.8888888888888888
0.6153846153846154,0.8888888888888888
0.64,0.8888888888888888
0.6666666666666666,0.8888888888888888
0.6521739130434783,0.8333333333333334
0.6363636363636364,0.7777777777777778
0.6666666666666666,0.7777777777777778
0.65,0.7222222222222222
0.631578947368421,0.6666666666666666
0.6111111111111112,0.6111111111111112
0.6470588235294118,0.6111111111111112
0.625,0.5555555555555556
0.6666666666666666,0.5555555555555556
0.7142857142857143,0.5555555555555556
0.7692307692307693,0.5555555555555556
0.75,0.5
0.7272727272727273,0.4444444444444444
0.7,0.3888888888888889
0.7777777777777778,0.3888888888888889
0.875,0.3888888888888889
1.0,0.3888888888888889
1.0,0.3333333333333333
1.0,0.2777777777777778
1.0,0.2222222222222222
1.0,0.16666666666666666
1.0,0.1111111111111111
1.0,0.05555555555555555
1.0,0.0
